Consulta 1:
0 1 H
0 2 M
5 1 M
15 2 M
20 1 H
25 1 M
30 2 M
40 1 M
45 2 H
Consulta 2:
0 3 M
41 1 H
65 3 H
7 1 M
Consulta 3:
161 1 H
279 1 M
0 1 H
105 1 M
795 1 M
Consulta 4:
135 22 M
100 19 M
60 57 M
65 24 M
85 37 M
95 46 H
80 38 M
90 71 M
0 82 M
125 47 M
0 70 M
120 16 H
5 21 H
135 80 M
110 48 H
20 1 M
5 29 M
115 58 H
75 14 M
60 4 M
80 36 H
80 77 M
65 67 M
115 28 M
65 1 M
15 76 M
15 80 M
65 67 M
0 27 M
130 60 H
0 53 H
Consulta 5:
68 19 H
5 6 H
13 20 M
41 25 H
8 27 M
35 19 M
65 1 H
53 13 H
0 4 H
17 1 H
74 8 M
62 19 H
52 16 M
57 18 M
20 20 M
50 23 H
18 15 M
23 15 H
17 28 H
3 7 H
56 10 H
54 5 H
54 7 M
31 16 M
66 1 H
18 28 H
68 21 M
0 10 H
52 29 H
17 21 H
52 29 H
10 20 H
64 3 H
16 8 H
34 20 M
68 12 H
21 11 H
19 6 H
3 20 H
37 23 H
42 10 H
77 25 H
40 12 H
20 10 H
32 14 H
72 10 M
19 20 H
35 12 M
67 8 M
47 26 H
55 6 M
34 19 H
64 16 H
37 3 M
71 25 M
75 27 H
69 13 M
58 10 M
68 28 M
28 3 H
8 1 M
0 10 H
63 25 H
48 4 H
53 27 H
11 12 M
78 11 M
29 2 H
63 17 H
39 21 H
23 10 M
12 2 M
29 17 H
68 28 M
14 22 H
24 1 H
36 24 H
29 18 M
24 2 M
69 13 M
24 16 M
60 6 H
53 21 H
66 1 H
48 19 H
23 23 H
0 20 H
2 17 M
51 16 H
9 2 H
33 5 H
57 25 M
25 28 H
56 4 H
65 29 H
77 19 M
35 17 H
3 29 H
18 22 M
73 21 H
60 14 H
32 14 H
40 5 H
50 16 H
74 28 H
70 3 H
71 24 H
0 18 M
43 18 M
47 14 M
74 21 H
40 28 M
3 16 H
41 13 M
58 10 M
43 17 H
0 13 H
13 25 H
26 5 H
20 13 M
52 21 H
16 7 H
45 2 M
9 2 H
41 13 M
52 21 H
44 17 M
43 10 H
68 7 M
2 20 H
41 19 H
64 25 M
14 14 H
19 11 H
26 13 H
68 13 H
55 27 M
43 18 M
76 20 M
22 10 H
8 14 M
65 2 H
36 24 H
22 16 H
6 12 M
10 9 H
62 4 H
39 15 M
9 13 H
72 22 H
38 21 H
37 22 H
6 23 M
32 1 M
75 26 H
2 8 H
71 17 H
4 8 H
47 21 M
55 19 H
63 17 H
47 20 H
3 16 H
2 17 M
1 25 H
0 2 H
26 26 H
27 13 M
30 16 H
27 13 M
20 27 M
44 10 M
54 5 H
16 21 H
6 18 M
60 22 M
39 28 H
46 15 M
14 8 H
33 13 H
38 23 M
18 1 M
13 20 M
67 6 H
69 26 H
56 11 H
7 19 H
43 25 M
54 7 M
46 21 H
34 18 H
30 23 H
6 18 M
19 27 H
7 4 H
72 3 M
73 23 M
2 7 H
17 1 H
39 14 H
30 3 M
64 9 H
34 11 H
18 15 M
71 23 H
43 11 M
56 3 H
74 7 H
52 1 H
3 26 H
37 2 H
29 9 H
21 17 H
38 8 H
69 13 M
56 5 M
12 5 H
32 1 M
1 2 H
29 16 H
15 1 H
73 21 H
48 11 H
29 23 H
63 10 H
20 11 H
31 2 M
9 20 H
10 9 H
72 15 H
30 2 H
33 12 H
40 6 H
31 15 H
19 11 H
33 26 H
34 13 M
69 12 H
74 13 H
24 1 H
43 17 H
47 5 H
66 29 H
59 14 H
77 4 H
45 16 M
68 6 H
47 14 M
34 27 M
50 11 M
62 25 H
50 18 M
35 19 M
77 19 M
7 26 H
15 26 M
73 28 H
9 22 M
31 28 H
52 1 H
52 22 H
58 22 H
77 18 H
36 10 H
12 5 H
6 18 M
40 28 M
15 19 M
40 13 H
42 26 M
44 10 M
4 8 H
57 11 M
51 10 M
50 10 H
1 1 M
74 6 H
18 13 H
5 9 M
76 11 H
64 9 H
9 13 H
78 25 M
43 4 M
51 16 H
0 23 H
55 20 M
57 2 H
38 9 M
18 8 M
10 19 M
53 1 M
56 11 H
37 17 M
23 22 H
75 21 M
2 7 H
9 15 M
42 3 H
40 21 M
56 24 H
16 1 H
29 2 H
76 27 M
18 20 H
37 29 H
73 28 H
2 29 H
70 10 H
78 25 M
65 9 H
52 7 H
9 7 M
3 2 M
5 9 M
55 25 H
27 11 H
60 22 M
27 12 H
23 10 M
3 7 H
77 19 M
38 1 H
76 19 H
37 1 H
26 12 H
42 5 M
24 21 H
0 21 M
78 2 H
72 8 H
53 28 H
40 26 H
5 26 H
78 17 H
8 10 H
37 3 M
77 25 H
53 14 H
0 5 H
9 4 H
42 10 H
13 25 H
0 26 H
47 7 M
62 25 H
30 29 H
49 17 H
31 16 M
12 13 H
64 18 M
56 17 H
42 17 H
32 15 M
54 14 M
44 22 H
52 14 H
71 11 M
0 22 H
14 28 H
64 11 M
64 2 H
47 13 H
61 20 H
42 24 H
78 4 M
48 20 M
32 1 M
30 10 M
0 9 M
29 10 H
13 13 M
32 20 H
12 13 H
18 20 H
67 29 M
4 20 M
16 12 M
65 15 H
15 7 H
56 4 H
50 23 H
76 25 H
39 29 M
44 24 M
65 3 M
11 2 H
55 19 H
65 1 H
60 28 H
77 25 H
10 26 M
70 12 M
57 11 M
49 17 H
71 16 H
60 1 M
15 10 M
21 25 H
51 24 M
49 24 H
16 8 H
18 27 H
19 6 H
61 14 M
44 16 H
62 25 H
37 22 H
46 29 M
61 27 H
32 21 H
1 23 M
46 14 H
48 5 H
8 27 M
43 25 M
1 23 M
15 3 M
16 18 M
37 15 H
7 5 M
62 6 M
77 10 H
4 8 H
54 26 H
67 29 M
50 18 M
51 9 H
53 22 M
39 13 H
74 20 H
66 29 H
0 20 H
77 19 M
14 25 M
0 14 H
Consulta 6:
146 35 M
142 23 H
165 14 M
36 16 M
59 12 M
36 41 H
61 21 H
85 1 M
79 10 H
3 16 M
50 36 M
16 24 H
142 14 M
59 20 M
123 7 M
50 39 M
20 36 M
30 39 M
59 42 M
131 1 H
45 31 M
154 28 H
3 31 H
6 4 M
148 20 H
46 19 M
76 8 M
129 13 M
85 7 H
163 1 H
149 42 M
33 23 M
99 42 M
112 17 H
88 7 M
0 44 M
55 37 M
138 17 M
32 13 M
70 9 H
125 17 M
33 3 M
92 10 M
23 21 M
120 36 M
99 15 M
148 27 M
39 12 M
122 15 M
129 3 H
0 27 M
158 27 H
13 34 M
69 38 H
96 8 H
43 3 M
33 33 M
88 37 H
30 44 H
136 35 M
69 2 H
153 33 M
59 28 H
0 25 H
53 25 M
29 10 M
83 32 M
118 38 H
144 38 M
136 7 M
99 26 H
161 12 H
0 4 H
50 26 H
169 37 M
118 24 M
98 43 M
69 20 M
139 11 M
55 1 M
72 41 M
32 13 M
9 40 M
111 28 M
52 14 H
131 19 M
161 10 M
0 31 H
150 39 H
43 3 M
134 28 M
10 8 M
158 16 M
Consulta 7:
320 2 H
105 3 M
140 3 M
15 11 M
190 2 M
290 23 M
25 13 M
70 24 M
65 23 M
370 2 H
310 10 M
145 27 H
30 16 M
285 6 M
345 7 H
45 3 M
210 28 H
75 21 M
255 12 M
200 15 M
370 24 M
Consulta 8:
120 68 M
5 81 M
40 41 M
105 78 M
70 65 M
70 26 M
65 40 M
60 69 M
70 26 M
55 78 M
30 79 M
40 10 H
100 11 M
115 19 M
30 23 M
90 33 M
15 5 H
40 25 H
140 46 M
75 5 M
130 24 M
115 40 M
130 73 M
30 74 H
135 22 M
60 62 M
125 45 M
30 12 M
145 14 M
115 23 M
5 21 H
135 10 M
35 40 M
20 41 M
0 70 M
100 16 M
135 53 M
105 62 M
40 63 H
45 30 M
90 62 M
25 73 M
15 54 M
5 21 H
100 83 M
100 46 H
0 82 M
25 52 M
105 22 M
140 65 H
140 17 M
60 38 H
85 60 M
50 58 M
105 76 H
0 32 M
120 50 M
85 22 M
75 51 M
5 9 M
0 37 H
105 82 M
0 10 M
20 15 M
35 54 M
15 83 H
110 34 M
15 19 M
15 6 M
45 30 M
45 83 M
0 69 H
130 44 M
0 2 M
85 28 M
80 38 M
0 6 M
60 14 M
85 22 M
110 36 M
45 64 M
25 42 M
15 30 M
105 53 M
120 22 M
80 40 M
30 40 H
105 68 M
105 59 M
50 15 M
105 13 H
75 35 H
130 14 M
15 82 M
120 59 M
15 39 M
75 44 H
110 77 H
60 4 M
30 34 H
35 80 M
125 4 H
45 76 M
15 67 M
110 56 M
70 79 H
85 52 M
105 50 M
135 38 H
15 46 M
130 29 M
20 57 M
15 78 H
15 7 M
65 72 M
65 29 M
140 5 H
120 68 M
115 38 M
85 28 M
105 12 M
45 82 M
35 40 M
20 10 H
110 40 H
100 8 M
0 10 M
120 62 M
55 47 M
85 39 M
120 69 M
45 42 M
80 11 M
50 1 M
0 49 H
5 21 H
140 56 M
95 5 M
10 37 M
60 43 M
85 73 M
95 40 M
50 67 M
55 2 M
45 12 M
30 12 M
140 76 M
35 36 M
140 18 M
60 43 M
60 30 M
90 9 M
