Case 1:
17 8
38 17
59 26
Case 2:
2333 2892
5174 5976
3518 4194
5904 6962
4504 5493
3867 3789
3114 4573
4020 5403
6319 7376
3443 4159
4630 5937
5127 5155
Case 3:
1206 446
344 251
646 383
Case 4:
10429 9849
11762 11155
12416 12385
12339 11260
10085 7759
10925 9490
13049 12154
11478 10681
11763 9446
9350 7393
9298 7721
13860 12852
Case 5:
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
Case 6:
15027 16470
13497 13197
16294 15628
14508 15661
11545 12980
10954 12703
16497 18650
12315 11507
16953 17708
14621 15819
11098 10252
15257 16123
Case 7:
370 111
360 108
860 258
150 45
130 39
70 21
40 12
570 171
430 129
50 15
Case 8:
3 2
