29 29 153
777 174 2 325
3 176 2 84
177 9 2 404
251 205 3 351
127 24 2 160
120 105 1 312
204 61 1 306
204 62 2 121
146 142 2 125
204 64 2 229
192 102 2 135
444 46 2 249
3 183 4 405
184 107 6 949
127 28 1 272
129 119 3 507
157 121 0 0
120 106 2 402
204 65 2 436
146 143 2 233
2 169 2 581
2 162 4 251
111 209 2 274
143 17 1 95
111 210 4 480
192 101 3 398
192 104 2 369
121 135 2 238
146 151 6 652
109 35 2 570
109 37 3 341
171 82 1 326
126 122 2 577
22 197 4 304
3 191 2 100
444 50 1 309
127 26 1 95
146 150 2 65
121 127 2 122
2 167 5 580
192 100 2 428
146 156 2 146
171 96 2 426
204 69 1 159
192 98 6 951
444 48 2 424
3 187 3 220
192 99 2 307
3 195 2 122
184 113 4 513
127 23 2 82
888 13 1 226
109 39 2 208
2 163 4 548
204 66 2 261
119 43 2 253
111 207 2 316
129 120 2 528
2 168 2 133
171 88 2 548
121 133 2 220
184 110 2 238
171 89 5 993
888 16 3 547
127 33 2 262
3 184 1 93
146 215 4 587
2 171 2 180
777 173 2 183
111 211 2 323
146 152 2 163
171 90 2 521
146 153 2 163
177 223 2 481
184 115 2 303
555 81 3 492
2 166 2 56
3 189 2 105
121 128 5 772
3 193 2 332
3 175 4 416
177 3 2 448
111 212 1 289
184 112 3 304
171 86 3 1091
3 180 2 66
3 178 2 75
177 1 2 480
127 22 2 66
120 218 1 262
3 177 3 294
109 36 2 144
131 74 2 140
143 20 2 139
3 188 3 352
444 51 2 286
204 68 1 187
204 53 2 424
3 194 3 540
146 141 2 41
3 182 2 283
204 57 3 319
177 4 1 590
216 117 0 2
129 118 2 181
204 70 2 418
146 145 1 34
3 179 2 61
192 103 2 160
204 59 1 73
182 21 2 398
184 116 1 229
146 154 2 588
119 42 2 173
3 190 2 463
119 41 2 224
146 158 1 244
119 40 2 140
146 146 2 222
171 95 2 486
2 165 2 370
2 170 3 370
127 27 2 353
196 12 0 1
3 186 2 172
888 14 3 421
178 77 2 309
121 130 1 217
146 160 3 296
177 6 1 84
204 60 3 538
184 111 5 611
177 7 2 329
2 164 2 83
127 30 2 216
177 2 2 148
204 54 2 532
146 139 5 267
121 220 1 88
146 148 2 257
143 18 3 412
888 15 3 512
177 5 2 444
204 63 2 234
3 185 2 186
146 140 2 316
251 204 2 220
146 149 2 668
3 192 2 99
171 85 1 330
131 75 2 277
131 71 2 87
146 144 4 493
